Iteracion 0, flagCambio=2067145
Iteracion 1, flagCambio=2061440
Iteracion 2, flagCambio=2047101
Iteracion 3, flagCambio=2031526
Iteracion 4, flagCambio=2014251
Iteracion 5, flagCambio=1996343
Iteracion 6, flagCambio=1977441
Iteracion 7, flagCambio=1957504
Iteracion 8, flagCambio=1936905
Iteracion 9, flagCambio=1915669
Iteracion 10, flagCambio=1893719
Iteracion 11, flagCambio=1871974
Iteracion 12, flagCambio=1848768
Iteracion 13, flagCambio=1825789
Iteracion 14, flagCambio=1801703
Iteracion 15, flagCambio=1777810
Iteracion 16, flagCambio=1752879
Iteracion 17, flagCambio=1728567
Iteracion 18, flagCambio=1702729
Iteracion 19, flagCambio=1677872
Iteracion 20, flagCambio=1651718
Iteracion 21, flagCambio=1625791
Iteracion 22, flagCambio=1599479
Iteracion 23, flagCambio=1573211
Iteracion 24, flagCambio=1546380
Iteracion 25, flagCambio=1519984
Iteracion 26, flagCambio=1492608
Iteracion 27, flagCambio=1466016
Iteracion 28, flagCambio=1438388
Iteracion 29, flagCambio=1411495
Iteracion 30, flagCambio=1383697
Iteracion 31, flagCambio=1356708
Iteracion 32, flagCambio=1328894
Iteracion 33, flagCambio=1301885
Iteracion 34, flagCambio=1273989
Iteracion 35, flagCambio=1247003
Iteracion 36, flagCambio=1219187
Iteracion 37, flagCambio=1192284
Iteracion 38, flagCambio=1164581
Iteracion 39, flagCambio=1137829
Iteracion 40, flagCambio=1110274
Iteracion 41, flagCambio=1083805
Iteracion 42, flagCambio=1056912
Iteracion 43, flagCambio=1030642
Iteracion 44, flagCambio=1003958
Iteracion 45, flagCambio=978044
Iteracion 46, flagCambio=951652
Iteracion 47, flagCambio=926147
Iteracion 48, flagCambio=900297
Iteracion 49, flagCambio=875411
Iteracion 50, flagCambio=850309
Iteracion 51, flagCambio=825909
Iteracion 52, flagCambio=801535
Iteracion 53, flagCambio=777857
Iteracion 54, flagCambio=753748
Iteracion 55, flagCambio=730655
Iteracion 56, flagCambio=707462
Iteracion 57, flagCambio=684922
Iteracion 58, flagCambio=662330
Iteracion 59, flagCambio=640860
Iteracion 60, flagCambio=618613
Iteracion 61, flagCambio=597437
